x_nm	-77.5	-72.163	-61.3179	-53.3867	-47.5866	-43.3449	-40.2429	-37.9744	-36	-34.0256	-32.0513	-30.0769	-28.1026	-26.1282	-24.1538	-22.1795	-20.2051	-18.2308	-16.2564	-14.2821	-12.3077	-10.3333	-8.35897	-6.38462	-4.41026	-2.4359	-0.461538	1.51282	3.48718	5.46154	7.4359	9.41026	11.3846	13.359	15.3333	17.3077	19.2821	21.2564	23.2308	25.2051	27.1795	29.1538	31.1282	33.1026	35.0769	37.0513	39.0256	41	42.9744	45.2268	48.3004	52.4942	58.2168	66.0252	76.68	82.5
-14	37373	55974.9	136313	297384	575307	985906	1.50846e+06	2.09081e+06	2.80003e+06	3.76721e+06	5.07917e+06	6.84803e+06	9.24784e+06	1.2653e+07	1.74217e+07	1.47263e+07	1.16528e+07	1.0388e+07	9.32441e+06	8.32377e+06	7.40355e+06	6.58208e+06	5.87922e+06	5.30781e+06	4.87796e+06	4.59691e+06	4.46965e+06	4.49891e+06	4.68451e+06	5.02375e+06	5.51076e+06	6.1361e+06	6.88479e+06	7.73704e+06	8.66619e+06	9.68456e+06	1.10589e+07	1.48504e+07	1.65316e+07	1.31226e+07	1.01718e+07	7.95922e+06	6.34667e+06	5.29259e+06	4.74309e+06	4.46735e+06	4.1165e+06	3.57086e+06	2.92284e+06	2.20662e+06	1.43043e+06	783345	367164	151439	56734.7	34985.9
-12	38888.7	58964.1	147093	330578	661651	1.1758e+06	1.86514e+06	2.67341e+06	3.70804e+06	5.19805e+06	7.34957e+06	1.04735e+07	1.52258e+07	2.43657e+07	5.6124e+07	2.37694e+07	1.23361e+07	1.20938e+07	1.14079e+07	1.04651e+07	9.46916e+06	8.54028e+06	7.72744e+06	7.06313e+06	6.56277e+06	6.23671e+06	6.09052e+06	6.12657e+06	6.3438e+06	6.73692e+06	7.29403e+06	7.99021e+06	8.78404e+06	9.57773e+06	1.02276e+07	1.04349e+07	1.02212e+07	2.84087e+07	3.41551e+07	2.1415e+07	1.54502e+07	1.16464e+07	9.07429e+06	7.66235e+06	7.4237e+06	7.78744e+06	7.44754e+06	6.28596e+06	4.86271e+06	3.40955e+06	2.01883e+06	1.00983e+06	436938	169059	60560.1	36549.6
-10	40243	61696.6	157291	363348	751310	1.38394e+06	2.27818e+06	3.38419e+06	4.88065e+06	7.17346e+06	1.07135e+07	1.61405e+07	2.46442e+07	4.97933e+07	1.23426e+07	2.67218e+07	9.53175e+06	4.98771e+06	5.58489e+06	6.12507e+06	6.55275e+06	6.8913e+06	7.16624e+06	7.38577e+06	7.55577e+06	7.6762e+06	7.74635e+06	7.76452e+06	7.72855e+06	7.63443e+06	7.47422e+06	7.2348e+06	6.88243e+06	6.37531e+06	5.61918e+06	4.62538e+06	1.48129e+07	1.9487e+07	1.16192e+07	2.90384e+07	2.14106e+07	1.63377e+07	1.29266e+07	1.18496e+07	1.344e+07	1.7172e+07	1.64936e+07	1.27585e+07	8.88479e+06	5.57197e+06	2.93259e+06	1.31588e+06	519330	187506	64223	37971.1
-8	41404.1	64077.3	166478	394123	839649	1.6005e+06	2.73346e+06	4.21556e+06	6.35421e+06	9.90054e+06	1.58735e+07	2.51975e+07	3.18883e+07	6.70333e+06	5.86385e+06	4.22826e+06	4.21572e+06	3.25063e+06	3.74968e+06	4.45119e+06	5.14656e+06	5.77891e+06	6.32663e+06	6.78112e+06	7.13348e+06	7.37772e+06	7.50882e+06	7.52391e+06	7.42209e+06	7.20436e+06	6.87347e+06	6.43199e+06	5.88936e+06	5.25875e+06	4.62963e+06	4.34991e+06	6.36344e+06	5.98327e+06	2.35706e+06	5.19449e+06	2.46023e+07	2.18501e+07	2.09007e+07	2.74315e+07	3.36919e+07	5.64124e+07	4.76271e+07	3.03763e+07	1.78517e+07	9.60617e+06	4.37211e+06	1.72512e+06	613459	205976	67565.6	39207
-6	42341.9	66032.2	174222	420996	920304	1.80852e+06	3.19678e+06	5.11906e+06	8.11671e+06	1.37612e+07	2.54622e+07	5.12283e+07	7.99176e+06	1.11191e+06	1.90946e+06	2.58893e+06	3.02137e+06	3.35056e+06	3.87005e+06	4.46818e+06	5.07342e+06	5.64248e+06	6.14868e+06	6.57512e+06	6.90928e+06	7.14247e+06	7.26882e+06	7.28539e+06	7.19205e+06	6.99185e+06	6.69124e+06	6.30068e+06	5.8384e+06	5.33375e+06	4.84796e+06	4.4836e+06	4.36549e+06	3.94927e+06	2.93552e+06	2.86567e+06	7.63091e+06	4.37923e+07	7.31617e+07	1.92242e+08	1.47375e+08	3.19523e+08	1.82301e+08	8.39747e+07	3.89875e+07	1.73244e+07	6.62549e+06	2.24979e+06	714207	223213	70430.8	40223.2
-4	43032.7	67490	180109	442015	985714	1.98438e+06	3.60501e+06	5.95217e+06	9.8996e+06	1.8978e+07	5.38342e+07	1.34912e+07	4.81179e+06	1.66336e+06	1.73041e+06	2.24114e+06	2.78073e+06	3.28855e+06	3.82859e+06	4.3963e+06	4.96409e+06	5.50232e+06	5.98633e+06	6.39731e+06	6.72122e+06	6.94813e+06	7.07171e+06	7.08894e+06	7.00026e+06	6.80984e+06	6.52602e+06	6.16239e+06	5.73985e+06	5.28811e+06	4.84761e+06	4.45836e+06	4.12663e+06	3.76646e+06	3.6019e+06	4.7993e+06	1.11249e+07	8.62086e+07	7.14733e+08	3.01296e+09	1.1831e+09	3.25084e+09	8.77748e+08	2.62013e+08	9.0948e+07	3.20581e+07	9.94182e+06	2.85464e+06	809827	237562	72639.2	40978.1
-2	43455.8	68386.4	183793	455469	1.02858e+06	2.10181e+06	3.87431e+06	6.44186e+06	1.05028e+07	1.73651e+07	2.35258e+07	8.73e+06	403002	1.04447e+06	1.59502e+06	2.12556e+06	2.67845e+06	3.22294e+06	3.77309e+06	4.33164e+06	4.88399e+06	5.40772e+06	5.88046e+06	6.28342e+06	6.60192e+06	6.82556e+06	6.94765e+06	6.96523e+06	6.87905e+06	6.69375e+06	6.4187e+06	6.06869e+06	5.66478e+06	5.23427e+06	4.8077e+06	4.41053e+06	4.06015e+06	3.81846e+06	4.04335e+06	5.78473e+06	1.15145e+07	6.58084e+08	6.23227e+09	6.57384e+10	1.57017e+10	5.50615e+10	4.87608e+09	9.20084e+08	2.18891e+08	5.71849e+07	1.39102e+07	3.40099e+06	881414	247181	74031.7	41443.6
-2.31611e-14	43596.4	68688.9	185051	460074	1.04349e+06	2.14307e+06	3.96783e+06	6.60458e+06	1.07092e+07	1.76138e+07	2.9042e+07	6.31295e+06	1.40652e+06	1.12459e+06	1.5778e+06	2.10059e+06	2.65083e+06	3.19933e+06	3.7509e+06	4.30692e+06	4.85498e+06	5.3745e+06	5.84387e+06	6.2443e+06	6.56113e+06	6.78375e+06	6.9054e+06	6.92309e+06	6.83758e+06	6.65388e+06	6.38156e+06	6.03565e+06	5.63712e+06	5.21218e+06	4.78908e+06	4.39204e+06	4.0485e+06	3.86164e+06	4.26028e+06	6.63362e+06	1.68383e+07	3.90175e+09	7.43213e+10	9.96811e+09	2.76974e+11	1.28368e+09	5.20049e+10	3.53565e+09	4.43198e+08	8.10736e+07	1.62506e+07	3.6409e+06	908550	250586	74512.1	41602.9
2	43456.6	68385.8	183794	455468	1.02857e+06	2.10181e+06	3.8743e+06	6.44191e+06	1.05028e+07	1.73652e+07	2.3526e+07	8.73001e+06	403012	1.04449e+06	1.59504e+06	2.12556e+06	2.67844e+06	3.22292e+06	3.77309e+06	4.33164e+06	4.88398e+06	5.4077e+06	5.88045e+06	6.2834e+06	6.6019e+06	6.82551e+06	6.94763e+06	6.96523e+06	6.87904e+06	6.69377e+06	6.41873e+06	6.06872e+06	5.66481e+06	5.23427e+06	4.8077e+06	4.41052e+06	4.06014e+06	3.81846e+06	4.04337e+06	5.78474e+06	1.15145e+07	6.58085e+08	6.23227e+09	6.57384e+10	1.57017e+10	5.50615e+10	4.87608e+09	9.20084e+08	2.18891e+08	5.7185e+07	1.39101e+07	3.40102e+06	881424	247178	74033.5	41444.2
4	43032	67489.4	180110	442018	985720	1.98437e+06	3.60503e+06	5.95223e+06	9.8996e+06	1.8978e+07	5.3834e+07	1.34912e+07	4.81178e+06	1.66335e+06	1.73039e+06	2.24112e+06	2.78072e+06	3.28855e+06	3.8286e+06	4.3963e+06	4.9641e+06	5.50232e+06	5.9863e+06	6.39732e+06	6.72126e+06	6.94816e+06	7.07172e+06	7.08896e+06	7.00029e+06	6.80987e+06	6.52602e+06	6.16237e+06	5.73985e+06	5.28811e+06	4.8476e+06	4.45836e+06	4.12663e+06	3.76645e+06	3.60189e+06	4.79927e+06	1.11249e+07	8.62086e+07	7.14733e+08	3.01296e+09	1.1831e+09	3.25084e+09	8.77748e+08	2.62013e+08	9.09478e+07	3.20581e+07	9.94183e+06	2.85463e+06	809823	237563	72637.9	40977.6
6	42342.5	66032.9	174222	420990	920302	1.80855e+06	3.19682e+06	5.119e+06	8.11668e+06	1.37613e+07	2.54622e+07	5.12283e+07	7.99177e+06	1.11192e+06	1.90947e+06	2.58893e+06	3.02137e+06	3.35055e+06	3.87004e+06	4.46817e+06	5.07342e+06	5.64249e+06	6.14869e+06	6.5751e+06	6.90925e+06	7.14246e+06	7.2688e+06	7.28535e+06	7.19203e+06	6.99183e+06	6.69125e+06	6.30072e+06	5.83842e+06	5.33375e+06	4.84798e+06	4.48361e+06	4.36551e+06	3.94928e+06	2.93553e+06	2.86566e+06	7.63091e+06	4.37923e+07	7.31618e+07	1.92242e+08	1.47375e+08	3.19524e+08	1.82301e+08	8.39748e+07	3.89875e+07	1.73244e+07	6.62549e+06	2.24979e+06	714216	223216	70430.3	40223.3
8	41403.4	64077.3	166478	394126	839655	1.60048e+06	2.73344e+06	4.21559e+06	6.35418e+06	9.90043e+06	1.58735e+07	2.51975e+07	3.18882e+07	6.70332e+06	5.86385e+06	4.22825e+06	4.21573e+06	3.25064e+06	3.74969e+06	4.4512e+06	5.14656e+06	5.77889e+06	6.32662e+06	6.78113e+06	7.13349e+06	7.37772e+06	7.50884e+06	7.52392e+06	7.42209e+06	7.20435e+06	6.87345e+06	6.43198e+06	5.88938e+06	5.25875e+06	4.62963e+06	4.3499e+06	6.36343e+06	5.98329e+06	2.35707e+06	5.19443e+06	2.46024e+07	2.18501e+07	2.09007e+07	2.74314e+07	3.36919e+07	5.64126e+07	4.76272e+07	3.03763e+07	1.78517e+07	9.60617e+06	4.37209e+06	1.72511e+06	613452	205978	67566.9	39207.6
