path_idx,type,color,width,vx,vy
2,s,0.3922|0.7098|0.9647,2.142859935760498,599.7461,364.8945
2,s,0.3922|0.7098|0.9647,2.142859935760498,598.7227,364.8555
2,s,0.3922|0.7098|0.9647,2.142859935760498,597.6992,364.8203
2,s,0.3922|0.7098|0.9647,2.142859935760498,596.6797,364.7930
2,s,0.3922|0.7098|0.9647,2.142859935760498,595.6602,364.7695
2,s,0.3922|0.7098|0.9647,2.142859935760498,594.6406,364.7539
2,s,0.3922|0.7098|0.9647,2.142859935760498,593.6250,364.7422
2,s,0.3922|0.7098|0.9647,2.142859935760498,592.6133,364.7344
2,s,0.3922|0.7098|0.9647,2.142859935760498,591.5977,364.7344
2,s,0.3922|0.7098|0.9647,2.142859935760498,590.5859,364.7422
2,s,0.3922|0.7098|0.9647,2.142859935760498,589.5781,364.7500
2,s,0.3922|0.7098|0.9647,2.142859935760498,588.5703,364.7656
2,s,0.3922|0.7098|0.9647,2.142859935760498,587.5625,364.7852
2,s,0.3922|0.7098|0.9647,2.142859935760498,586.5586,364.8125
2,s,0.3922|0.7098|0.9647,2.142859935760498,585.5547,364.8438
2,s,0.3922|0.7098|0.9647,2.142859935760498,584.5508,364.8750
2,s,0.3922|0.7098|0.9647,2.142859935760498,583.5508,364.9141
2,s,0.3922|0.7098|0.9647,2.142859935760498,582.5508,364.9570
2,s,0.3922|0.7098|0.9647,2.142859935760498,581.5547,365.0000
2,s,0.3922|0.7098|0.9647,2.142859935760498,580.5586,365.0508
2,s,0.3922|0.7098|0.9647,2.142859935760498,579.5625,365.0977
2,s,0.3922|0.7098|0.9647,2.142859935760498,578.5703,365.1523
2,s,0.3922|0.7098|0.9647,2.142859935760498,577.5781,365.2031
2,s,0.3922|0.7098|0.9647,2.142859935760498,576.5898,365.2578
2,s,0.3922|0.7098|0.9647,2.142859935760498,575.6016,365.3125
2,s,0.3922|0.7098|0.9647,2.142859935760498,574.6133,365.3672
2,s,0.3922|0.7098|0.9647,2.142859935760498,573.6250,365.4219
2,s,0.3922|0.7098|0.9647,2.142859935760498,572.6445,365.4727
2,s,0.3922|0.7098|0.9647,2.142859935760498,571.6602,365.5234
2,s,0.3922|0.7098|0.9647,2.142859935760498,570.6797,365.5742
2,s,0.3922|0.7098|0.9647,2.142859935760498,569.6992,365.6211
2,s,0.3922|0.7098|0.9647,2.142859935760498,568.7227,365.6641
2,s,0.3922|0.7098|0.9647,2.142859935760498,567.7422,365.7070
2,s,0.3922|0.7098|0.9647,2.142859935760498,566.7695,365.7461
2,s,0.3922|0.7098|0.9647,2.142859935760498,565.7930,365.7773
2,s,0.3922|0.7098|0.9647,2.142859935760498,564.8242,365.8086
2,s,0.3922|0.7098|0.9647,2.142859935760498,563.8516,365.8320
2,s,0.3922|0.7098|0.9647,2.142859935760498,562.8828,365.8516
2,s,0.3922|0.7098|0.9647,2.142859935760498,561.9141,365.8672
2,s,0.3922|0.7098|0.9647,2.142859935760498,560.9453,365.8789
2,s,0.3922|0.7098|0.9647,2.142859935760498,559.9805,365.8828
2,s,0.3922|0.7098|0.9647,2.142859935760498,559.0195,365.8828
2,s,0.3922|0.7098|0.9647,2.142859935760498,558.0547,365.8750
2,s,0.3922|0.7098|0.9647,2.142859935760498,557.0938,365.8633
2,s,0.3922|0.7098|0.9647,2.142859935760498,556.1367,365.8477
2,s,0.3922|0.7098|0.9647,2.142859935760498,555.1758,365.8242
2,s,0.3922|0.7098|0.9647,2.142859935760498,554.2227,365.7969
2,s,0.3922|0.7098|0.9647,2.142859935760498,553.2656,365.7656
2,s,0.3922|0.7098|0.9647,2.142859935760498,552.3125,365.7266
2,s,0.3922|0.7098|0.9647,2.142859935760498,551.3594,365.6836
2,s,0.3922|0.7098|0.9647,2.142859935760498,550.4102,365.6328
2,s,0.3922|0.7098|0.9647,2.142859935760498,549.4570,365.5820
2,s,0.3922|0.7098|0.9647,2.142859935760498,548.5117,365.5273
2,s,0.3922|0.7098|0.9647,2.142859935760498,547.5625,365.4648
2,s,0.3922|0.7098|0.9647,2.142859935760498,546.6172,365.4023
2,s,0.3922|0.7098|0.9647,2.142859935760498,545.6758,365.3359
2,s,0.3922|0.7098|0.9647,2.142859935760498,544.7305,365.2695
2,s,0.3922|0.7098|0.9647,2.142859935760498,543.7891,365.1953
2,s,0.3922|0.7098|0.9647,2.142859935760498,542.8516,365.1250
2,s,0.3922|0.7098|0.9647,2.142859935760498,541.9141,365.0508
2,s,0.3922|0.7098|0.9647,2.142859935760498,540.9766,364.9727
2,s,0.3922|0.7098|0.9647,2.142859935760498,540.0391,364.8984
2,s,0.3922|0.7098|0.9647,2.142859935760498,539.1055,364.8242
2,s,0.3922|0.7098|0.9647,2.142859935760498,538.1719,364.7461
2,s,0.3922|0.7098|0.9647,2.142859935760498,537.2422,364.6719
2,s,0.3922|0.7098|0.9647,2.142859935760498,536.3125,364.6016
2,s,0.3922|0.7098|0.9647,2.142859935760498,535.3828,364.5273
2,s,0.3922|0.7098|0.9647,2.142859935760498,534.4531,364.4609
2,s,0.3922|0.7098|0.9647,2.142859935760498,533.5273,364.3945
2,s,0.3922|0.7098|0.9647,2.142859935760498,532.6016,364.3281
2,s,0.3922|0.7098|0.9647,2.142859935760498,531.6797,364.2695
2,s,0.3922|0.7098|0.9647,2.142859935760498,530.7578,364.2109
2,s,0.3922|0.7098|0.9647,2.142859935760498,529.8359,364.1562
2,s,0.3922|0.7098|0.9647,2.142859935760498,528.9180,364.1094
2,s,0.3922|0.7098|0.9647,2.142859935760498,528.0000,364.0625
2,s,0.3922|0.7098|0.9647,2.142859935760498,527.0820,364.0234
