path_idx,type,color,width,vx,vy
8,f,,,17.1800,289.7800
8,f,,,17.2000,288.9900
8,f,,,17.2400,288.1900
8,f,,,17.2000,288.1900
8,f,,,16.9000,288.7800
8,f,,,16.5700,289.3600
8,f,,,14.7900,292.1900
8,f,,,17.1800,292.1900
8,f,,,18.1200,293.1900
8,f,,,18.1200,295.1900
8,f,,,17.1800,295.1900
8,f,,,17.1800,293.1900
8,f,,,13.7400,293.1900
8,f,,,13.7400,292.3300
8,f,,,17.0200,287.1900
8,f,,,18.1200,287.1900
8,f,,,18.1200,292.1900
8,f,,,19.1600,292.1900
8,f,,,19.1600,293.1900
8,f,,,20.7200,294.1500
8,f,,,20.0700,291.1600
8,f,,,20.7200,288.2100
8,f,,,22.5200,287.1900
8,f,,,24.3300,288.2100
8,f,,,24.9800,291.1600
8,f,,,24.3300,294.1500
8,f,,,22.5200,295.1900
8,f,,,23.1300,294.0200
8,f,,,23.6000,293.4700
8,f,,,23.9100,292.5300
8,f,,,24.0100,291.1700
8,f,,,23.9100,289.8100
8,f,,,23.6000,288.8900
8,f,,,23.1300,288.3600
8,f,,,22.5200,288.1900
8,f,,,21.9200,288.3600
8,f,,,21.4400,288.8900
8,f,,,21.1300,289.8100
8,f,,,21.0200,291.1700
8,f,,,21.4400,293.4700
8,f,,,22.5200,294.1900
9,s,0.0000|0.0000|0.0000,0.7142860293388367,27.5430,248.0820
9,s,0.0000|0.0000|0.0000,0.7142860293388367,32.5508,248.0820
10,f,,,16.7600,249.0800
10,f,,,17.2800,248.9700
10,f,,,17.7000,248.6600
10,f,,,17.9900,248.1800
10,f,,,18.0900,247.5500
10,f,,,17.7400,246.4700
10,f,,,16.6600,246.0800
10,f,,,15.8800,246.2900
10,f,,,15.0700,247.0000
10,f,,,15.5900,248.5500
10,f,,,16.7600,249.0800
10,f,,,17.7600,243.2400
10,f,,,17.0700,243.0800
10,f,,,16.3100,243.2300
10,f,,,15.6700,243.7100
10,f,,,15.2400,244.6000
10,f,,,15.0600,246.0500
10,f,,,15.8900,245.3500
10,f,,,16.8400,245.0800
10,f,,,18.4300,245.6900
10,f,,,19.0200,247.5300
10,f,,,18.8400,248.5600
10,f,,,18.3500,249.3700
10,f,,,17.6300,249.8900
10,f,,,16.7600,250.0800
10,f,,,15.7100,249.8500
10,f,,,14.8800,249.1600
10,f,,,14.3200,247.9900
10,f,,,14.1200,246.3800
10,f,,,14.3600,244.3900
10,f,,,15.0100,243.0600
10,f,,,15.9400,242.3100
10,f,,,17.0200,242.0800
10,f,,,18.1000,242.3600
10,f,,,18.8800,243.0600
10,f,,,18.3200,243.6700
10,f,,,20.7200,249.0400
10,f,,,20.0700,246.0500
10,f,,,20.7200,243.1000
10,f,,,22.5200,242.0800
10,f,,,24.3300,243.1000
10,f,,,24.9800,246.0500
10,f,,,24.3300,249.0400
10,f,,,22.5200,250.0800
10,f,,,23.1300,248.9100
10,f,,,23.6000,248.3600
10,f,,,23.9100,247.4200
10,f,,,24.0100,246.0600
10,f,,,23.9100,244.7000
10,f,,,23.6000,243.7800
10,f,,,23.1300,243.2500
10,f,,,22.5200,243.0800
10,f,,,21.9200,243.2500
10,f,,,21.4400,243.7800
10,f,,,21.1300,244.7000
10,f,,,21.0200,246.0600
10,f,,,21.4400,248.3600
10,f,,,22.5200,249.0800
11,s,0.0000|0.0000|0.0000,0.7142860293388367,27.5430,201.9727
11,s,0.0000|0.0000|0.0000,0.7142860293388367,32.5508,201.9727
12,f,,,14.9200,201.5600
12,f,,,15.0400,202.1300
12,f,,,15.3900,202.5700
12,f,,,15.9200,202.8700
12,f,,,16.5700,202.9700
12,f,,,17.6600,202.6100
12,f,,,18.0700,201.6900
12,f,,,17.9000,201.0700
12,f,,,17.4400,200.6300
12,f,,,16.7700,200.2800
12,f,,,15.9900,199.9700
12,f,,,15.2200,200.6700
12,f,,,14.9200,201.5600
12,f,,,17.6700,198.8700
12,f,,,17.8800,198.1600
12,f,,,17.5300,197.3100
12,f,,,16.5600,196.9700
12,f,,,15.6600,197.2700
12,f,,,15.3200,198.0600
12,f,,,15.4600,198.5800
12,f,,,15.8500,198.9700
12,f,,,16.4200,199.2700
12,f,,,17.0900,199.5200
12,f,,,14.1600,200.6200
12,f,,,14.4900,199.9200
12,f,,,14.9400,199.3800
12,f,,,15.4800,198.9700
12,f,,,15.4800,198.9400
12,f,,,14.7300,198.3500
12,f,,,14.4000,197.5300
12,f,,,14.5700,196.8900
12,f,,,15.0300,196.4100
12,f,,,15.7100,196.0900
12,f,,,16.5700,195.9700
12,f,,,17.4800,196.1400
12,f,,,18.1500,196.6300
12,f,,,18.5900,197.3900
12,f,,,18.7400,198.3600
12,f,,,18.6300,199.0200
12,f,,,18.3800,199.6300
12,f,,,18.0400,200.1300
12,f,,,17.6800,200.5200
12,f,,,17.6800,200.5600
12,f,,,18.1700,200.8400
12,f,,,18.6000,201.2000
12,f,,,18.9000,201.6500
12,f,,,19.0100,202.2400
12,f,,,18.8300,202.9200
12,f,,,18.3300,203.4700
12,f,,,17.5500,203.8400
12,f,,,16.5400,203.9700
12,f,,,15.5300,203.7800
12,f,,,14.7400,203.2600
12,f,,,14.2200,202.4600
12,f,,,14.0200,201.4500
12,f,,,20.7200,202.9300
12,f,,,20.0700,199.9400
12,f,,,20.7200,196.9900
12,f,,,22.5200,195.9700
12,f,,,24.3300,196.9900
12,f,,,24.9800,199.9400
12,f,,,24.3300,202.9300
12,f,,,22.5200,203.9700
12,f,,,23.1300,202.8000
12,f,,,23.6000,202.2500
12,f,,,23.9100,201.3100
12,f,,,24.0100,199.9500
12,f,,,23.9100,198.5900
12,f,,,23.6000,197.6700
12,f,,,23.1300,197.1400
12,f,,,22.5200,196.9700
12,f,,,21.9200,197.1400
12,f,,,21.4400,197.6700
12,f,,,21.1300,198.5900
12,f,,,21.0200,199.9500
12,f,,,21.4400,202.2500
12,f,,,22.5200,202.9700
13,s,0.0000|0.0000|0.0000,0.7142860293388367,27.5430,156.8711
13,s,0.0000|0.0000|0.0000,0.7142860293388367,32.5508,156.8711
14,f,,,8.4900,157.8700
14,f,,,10.2400,157.8700
14,f,,,10.2400,152.8700
14,f,,,8.8500,152.8700
14,f,,,8.8500,151.8700
14,f,,,9.7700,151.4600
14,f,,,10.4600,150.8700
14,f,,,11.2300,150.8700
14,f,,,11.2300,157.8700
14,f,,,12.8100,157.8700
14,f,,,12.8100,158.8700
14,f,,,8.4900,158.8700
14,f,,,8.4900,157.8700
14,f,,,14.7200,157.8300
14,f,,,14.0700,154.8400
14,f,,,14.7200,151.8900
14,f,,,16.5200,150.8700
14,f,,,18.3300,151.8900
14,f,,,18.9800,154.8400
14,f,,,18.3300,157.8300
14,f,,,16.5200,158.8700
14,f,,,17.1300,157.7000
14,f,,,17.6000,157.1500
14,f,,,17.9100,156.2100
14,f,,,18.0100,154.8500
14,f,,,17.9100,153.4900
14,f,,,17.6000,152.5700
14,f,,,17.1300,152.0400
14,f,,,16.5200,151.8700
14,f,,,15.9200,152.0400
14,f,,,15.4400,152.5700
14,f,,,15.1300,153.4900
14,f,,,15.0200,154.8500
14,f,,,15.4400,157.1500
14,f,,,16.5200,157.8700
14,f,,,20.7200,157.8300
14,f,,,20.0700,154.8400
14,f,,,20.7200,151.8900
14,f,,,22.5200,150.8700
14,f,,,24.3300,151.8900
14,f,,,24.9800,154.8400
14,f,,,24.3300,157.8300
14,f,,,22.5200,158.8700
14,f,,,23.1300,157.7000
14,f,,,23.6000,157.1500
14,f,,,23.9100,156.2100
14,f,,,24.0100,154.8500
14,f,,,23.9100,153.4900
14,f,,,23.6000,152.5700
14,f,,,23.1300,152.0400
14,f,,,22.5200,151.8700
14,f,,,21.9200,152.0400
14,f,,,21.4400,152.5700
14,f,,,21.1300,153.4900
14,f,,,21.0200,154.8500
14,f,,,21.4400,157.1500
14,f,,,22.5200,157.8700
15,s,0.0000|0.0000|0.0000,0.7142860293388367,27.5430,110.7617
15,s,0.0000|0.0000|0.0000,0.7142860293388367,32.5508,110.7617
16,f,,,8.4900,111.7600
16,f,,,10.2400,111.7600
16,f,,,10.2400,106.7600
16,f,,,8.8500,106.7600
16,f,,,8.8500,105.7600
16,f,,,9.7700,105.3500
16,f,,,10.4600,104.7600
16,f,,,11.2300,104.7600
16,f,,,11.2300,111.7600
16,f,,,12.8100,111.7600
16,f,,,12.8100,112.7600
16,f,,,8.4900,112.7600
16,f,,,8.4900,111.7600
16,f,,,15.5600,110.5000
16,f,,,16.6800,109.2400
16,f,,,17.3800,108.1700
16,f,,,17.6200,107.2300
16,f,,,17.2600,106.1700
16,f,,,16.1600,105.7600
16,f,,,15.2700,106.0300
16,f,,,14.5400,106.6800
16,f,,,13.9800,106.1200
16,f,,,14.9900,105.1600
16,f,,,16.2900,104.7600
16,f,,,17.9700,105.3800
16,f,,,18.5900,107.0400
16,f,,,18.3500,108.1300
16,f,,,17.7000,109.2700
16,f,,,16.7200,110.4900
16,f,,,15.4600,111.8400
16,f,,,16.1100,111.7800
16,f,,,16.7400,111.7600
16,f,,,18.9600,111.7600
16,f,,,18.9600,112.7600
16,f,,,14.0200,112.7600
16,f,,,14.0200,112.0300
16,f,,,20.7200,111.7200
16,f,,,20.0700,108.7300
16,f,,,20.7200,105.7800
16,f,,,22.5200,104.7600
16,f,,,24.3300,105.7800
16,f,,,24.9800,108.7300
16,f,,,24.3300,111.7200
16,f,,,22.5200,112.7600
16,f,,,23.1300,111.5900
16,f,,,23.6000,111.0400
16,f,,,23.9100,110.1000
16,f,,,24.0100,108.7400
16,f,,,23.9100,107.3800
16,f,,,23.6000,106.4600
16,f,,,23.1300,105.9300
16,f,,,22.5200,105.7600
16,f,,,21.9200,105.9300
16,f,,,21.4400,106.4600
16,f,,,21.1300,107.3800
16,f,,,21.0200,108.7400
16,f,,,21.4400,111.0400
16,f,,,22.5200,111.7600
17,s,0.0000|0.0000|0.0000,0.7142860293388367,27.5430,65.6562
17,s,0.0000|0.0000|0.0000,0.7142860293388367,32.5508,65.6562
18,f,,,8.4900,66.6500
18,f,,,10.2400,66.6500
18,f,,,10.2400,61.6500
18,f,,,8.8500,61.6500
18,f,,,8.8500,60.6500
18,f,,,9.7700,60.2400
18,f,,,10.4600,59.6500
18,f,,,11.2300,59.6500
18,f,,,11.2300,66.6500
18,f,,,12.8100,66.6500
18,f,,,12.8100,67.6500
18,f,,,8.4900,67.6500
18,f,,,8.4900,66.6500
18,f,,,17.1800,62.2400
18,f,,,17.2000,61.4500
18,f,,,17.2400,60.6500
18,f,,,17.2000,60.6500
18,f,,,16.9000,61.2400
18,f,,,16.5700,61.8200
18,f,,,14.7900,64.6500
18,f,,,17.1800,64.6500
18,f,,,18.1200,65.6500
18,f,,,18.1200,67.6500
18,f,,,17.1800,67.6500
18,f,,,17.1800,65.6500
18,f,,,13.7400,65.6500
18,f,,,13.7400,64.7900
18,f,,,17.0200,59.6500
18,f,,,18.1200,59.6500
18,f,,,18.1200,64.6500
18,f,,,19.1600,64.6500
18,f,,,19.1600,65.6500
18,f,,,20.7200,66.6100
18,f,,,20.0700,63.6200
18,f,,,20.7200,60.6700
18,f,,,22.5200,59.6500
18,f,,,24.3300,60.6700
18,f,,,24.9800,63.6200
18,f,,,24.3300,66.6100
18,f,,,22.5200,67.6500
18,f,,,23.1300,66.4800
18,f,,,23.6000,65.9300
18,f,,,23.9100,64.9900
18,f,,,24.0100,63.6300
18,f,,,23.9100,62.2700
18,f,,,23.6000,61.3500
18,f,,,23.1300,60.8200
18,f,,,22.5200,60.6500
18,f,,,21.9200,60.8200
18,f,,,21.4400,61.3500
18,f,,,21.1300,62.2700
18,f,,,21.0200,63.6300
18,f,,,21.4400,65.9300
18,f,,,22.5200,66.6500
19,s,0.0000|0.0000|0.0000,0.7142860293388367,27.5430,19.5508
19,s,0.0000|0.0000|0.0000,0.7142860293388367,32.5508,19.5508
20,f,,,8.4900,20.5500
20,f,,,10.2400,20.5500
20,f,,,10.2400,15.5500
20,f,,,8.8500,15.5500
20,f,,,8.8500,14.5500
20,f,,,9.7700,14.1400
20,f,,,10.4600,13.5500
20,f,,,11.2300,13.5500
20,f,,,11.2300,20.5500
20,f,,,12.8100,20.5500
20,f,,,12.8100,21.5500
20,f,,,8.4900,21.5500
20,f,,,8.4900,20.5500
20,f,,,17.2800,20.4400
20,f,,,17.7000,20.1300
20,f,,,17.9900,19.6500
20,f,,,18.0900,19.0200
20,f,,,17.7400,17.9400
20,f,,,16.6600,17.5500
20,f,,,15.8800,17.7600
20,f,,,15.0700,18.4700
20,f,,,15.5900,20.0200
20,f,,,16.7600,20.5500
20,f,,,17.7600,14.7100
20,f,,,17.0700,14.5500
20,f,,,16.3100,14.7000
20,f,,,15.6700,15.1800
20,f,,,15.2400,16.0700
20,f,,,15.0600,17.5200
20,f,,,15.8900,16.8200
20,f,,,16.8400,16.5500
20,f,,,18.4300,17.1600
20,f,,,19.0200,19.0000
20,f,,,18.8400,20.0300
20,f,,,18.3500,20.8400
20,f,,,17.6300,21.3600
20,f,,,16.7600,21.5500
20,f,,,15.7100,21.3200
20,f,,,14.8800,20.6300
20,f,,,14.3200,19.4600
20,f,,,14.1200,17.8500
20,f,,,14.3600,15.8600
20,f,,,15.0100,14.5300
20,f,,,15.9400,13.7800
20,f,,,17.0200,13.5500
20,f,,,18.1000,13.8300
20,f,,,18.8800,14.5300
20,f,,,18.3200,15.1400
20,f,,,20.7200,20.5100
20,f,,,20.0700,17.5200
20,f,,,20.7200,14.5700
